date,Mkt,SMB,HML,UMD,RF
1926-11-03,0.21300000000000002,-0.24,-0.28,0.57,0.013
1926-11-04,0.603,-0.15,0.69,-0.52,0.013
1926-11-05,0.083,-0.09,0.23,1.15,0.013
1926-11-06,0.17300000000000001,-0.29,0.05,-0.04,0.013
1926-11-08,0.533,-0.07,0.08,-0.01,0.013
1926-11-09,0.14300000000000002,0.29,-0.49,0.17,0.013
1926-11-10,-0.587,0.15,0.09,0.28,0.013
1926-11-11,0.683,0.03,0.09,-0.93,0.013
1926-11-12,0.253,-0.03,-0.37,-0.31,0.013
1926-11-13,-0.22699999999999998,0.12,-0.16,0.39,0.013
1926-11-15,0.383,0.28,-0.25,-0.06,0.013
1926-11-16,0.163,-0.31,-0.06,-0.06,0.013
1926-11-17,-0.33699999999999997,-0.35,0.46,0.12,0.013
1926-11-18,-0.46699999999999997,0.17,0.2,0.53,0.013
1926-11-19,-0.627,0.56,0.07,0.23,0.013
1926-11-20,0.41300000000000003,0.01,0.12,-0.33,0.013
1926-11-22,0.583,0.16,-0.2,-0.11,0.013
1926-11-23,0.343,0.02,0.2,0.54,0.013
1926-11-24,0.093,-0.22,0.2,-0.42,0.013
1926-11-26,0.21300000000000002,-0.02,0.03,-0.21,0.013
1926-11-27,-0.13699999999999998,-0.04,-0.28,0.37,0.013
1926-11-29,-0.357,-0.13,0.06,-0.09,0.013
1926-11-30,0.273,0.03,-0.5,0.16,0.013
1926-12-01,0.371,0.05,-0.34,-0.09,0.011
1926-12-02,0.521,-0.01,0.1,-0.05,0.011
1926-12-03,0.331,-0.05,0.06,-0.52,0.011
1926-12-04,-0.159,0.2,0.1,0.06,0.011
1926-12-06,0.051000000000000004,0.32,-0.37,0.18,0.011
1926-12-07,-0.029,0.34,-0.51,0.27,0.011
1926-12-08,-0.069,0.21,0.25,0.19,0.011
1926-12-09,0.461,-0.15,0.44,-0.54,0.011
1926-12-10,0.361,-0.17,0.5,0.01,0.011
1926-12-11,0.10099999999999999,-0.1,-0.5,-0.48,0.011
1926-12-13,0.431,0.64,0.0,-0.77,0.011
1926-12-14,0.111,-0.09,0.14,0.59,0.011
1926-12-15,0.18100000000000002,-0.22,0.22,-0.3,0.011
1926-12-16,-0.619,-0.2,0.05,-0.03,0.011
1926-12-17,0.921,-0.75,0.68,0.11,0.011
1926-12-18,0.431,-0.22,0.2,-0.27,0.011
1926-12-20,-0.299,0.08,-0.13,0.71,0.011
1926-12-21,-0.019,-0.38,-0.19,0.48,0.011
1926-12-22,0.031,-0.19,-0.53,0.04,0.011
1926-12-23,0.29100000000000004,0.01,-0.47,0.42,0.011
1926-12-24,0.321,0.21,0.26,0.26,0.011
1926-12-27,-0.209,-0.14,-0.4,0.24,0.011
1926-12-28,-1.0590000000000002,-0.07,-0.16,0.33,0.011
1926-12-29,0.451,-0.16,-0.06,-0.14,0.011
1926-12-30,-0.33899999999999997,0.44,0.1,-0.03,0.011
1926-12-31,0.341,0.3,0.67,-0.69,0.011
1927-01-03,-0.78,0.19,0.09,0.03,0.01
1927-01-04,0.32,0.15,-0.67,-0.19,0.01
1927-01-05,0.15000000000000002,0.43,-0.31,-0.48,0.01
1927-01-06,-0.16,0.0,0.07,-0.15,0.01
1927-01-07,0.31,-0.25,0.44,0.64,0.01
1927-01-08,0.4,-0.18,0.27,-0.51,0.01
1927-01-10,0.15000000000000002,0.02,0.16,0.18,0.01
1927-01-11,-0.27,-0.36,0.87,0.22,0.01
1927-01-12,0.08,-0.06,0.02,0.34,0.01
1927-01-13,-0.03,0.2,-0.3,0.24,0.01
1927-01-14,0.060000000000000005,-0.85,0.92,0.52,0.01
1927-01-15,0.14,0.1,0.83,0.87,0.01
1927-01-17,-0.03,-0.18,0.77,-0.01,0.01
1927-01-18,-0.049999999999999996,-0.22,0.01,-0.26,0.01
1927-01-19,0.62,-0.01,-0.77,-0.5,0.01
1927-01-20,-0.16,-0.3,0.13,0.15,0.01
1927-01-21,0.0,0.6,1.29,0.33,0.01
1927-01-22,-0.35,0.26,0.34,0.79,0.01
1927-01-24,-0.47,0.47,1.44,0.2,0.01
1927-01-25,-1.06,-0.47,-1.29,-0.38,0.01
1927-01-26,0.2,0.12,0.48,0.35,0.01
1927-01-27,-0.33999999999999997,0.0,-0.42,-0.28,0.01
1927-01-28,0.17,0.16,0.76,0.37,0.01
1927-01-29,0.74,-0.41,-0.29,0.52,0.01
1927-01-31,0.62,0.12,-0.04,0.46,0.01
1927-02-01,0.002,0.53,1.11,-0.14,0.012
1927-02-02,0.712,-0.21,0.1,-0.17,0.012
1927-02-03,0.18200000000000002,0.21,-0.07,0.53,0.012
1927-02-04,0.382,0.12,1.38,-0.68,0.012
1927-02-05,-0.16799999999999998,0.31,0.45,0.02,0.012
1927-02-07,-0.11800000000000001,0.64,0.47,-0.46,0.012
1927-02-08,0.112,0.19,1.03,-0.25,0.012
1927-02-09,0.052000000000000005,-0.88,-0.57,-0.36,0.012
1927-02-10,0.092,0.28,-0.69,-0.07,0.012
1927-02-11,0.322,-0.44,-0.63,-0.07,0.012
1927-02-14,0.502,-0.14,-0.29,0.49,0.012
1927-02-15,0.112,-0.27,-0.16,0.25,0.012
1927-02-16,-0.008,0.01,1.55,0.42,0.012
1927-02-17,0.252,0.07,0.86,0.77,0.012
1927-02-18,0.332,-0.73,-0.12,0.28,0.012
1927-02-19,0.022,0.38,-0.48,-0.4,0.012
1927-02-21,-0.158,0.19,-0.9,-0.01,0.012
1927-02-23,0.732,-0.33,-0.13,0.21,0.012
1927-02-24,0.15200000000000002,0.35,0.09,-0.06,0.012
1927-02-25,0.222,0.24,-0.33,-0.46,0.012
1927-02-26,0.082,-0.19,-0.05,0.06,0.012
1927-02-28,0.562,-0.38,0.24,0.29,0.012
1927-03-01,-0.389,-0.03,-0.55,0.2,0.011
1927-03-02,-1.129,-0.14,-0.33,-0.23,0.011
1927-03-03,1.031,-0.05,0.05,0.75,0.011
1927-03-04,-0.439,0.22,-0.16,-0.31,0.011
