date,Mkt,SMB,HML,UMD,RF
1927-01-01,0.19,-0.56,4.83,0.44,0.25
1927-02-01,4.4399999999999995,-0.1,3.17,-1.32,0.26
1927-03-01,0.43,-1.6,-2.67,3.59,0.3
1927-04-01,0.71,0.43,0.6,4.17,0.25
1927-05-01,5.74,1.41,4.93,2.96,0.3
1927-06-01,-2.08,0.47,-1.53,0.53,0.26
1927-07-01,7.56,-3.23,-1.16,4.29,0.3
1927-08-01,2.25,-0.72,-3.69,1.14,0.28
1927-09-01,4.97,-3.57,-0.71,1.89,0.21
1927-10-01,-4.06,2.13,-4.33,-1.08,0.25
1927-11-01,6.79,2.76,-0.31,-0.67,0.21
1927-12-01,2.31,0.93,-1.06,3.15,0.22
1928-01-01,-0.43000000000000005,4.25,-0.72,-0.6,0.25
1928-02-01,-1.3699999999999999,-2.03,-0.69,-1.09,0.33
1928-03-01,9.1,-0.26,-1.2,4.87,0.29
1928-04-01,4.45,3.82,3.67,-5.65,0.22
1928-05-01,1.84,2.98,-3.46,2.85,0.32
1928-06-01,-4.54,-3.5,-0.06,2.05,0.31
1928-07-01,0.94,-1.35,-0.47,2.82,0.32
1928-08-01,7.0,-2.07,-2.11,3.69,0.32
1928-09-01,3.15,2.33,0.99,3.64,0.27
1928-10-01,1.74,2.27,-2.26,5.05,0.41
1928-11-01,12.190000000000001,-1.81,2.8,2.12,0.38
1928-12-01,0.42,-0.85,-0.6,1.78,0.06
1929-01-01,5.0,-3.54,-1.21,2.43,0.34
1929-02-01,0.019999999999999962,-0.39,1.68,3.08,0.36
1929-03-01,-0.55,-4.74,1.61,-0.7,0.34
1929-04-01,1.79,-1.0,0.6,1.89,0.36
1929-05-01,-5.949999999999999,-5.35,-1.4,-2.04,0.44
1929-06-01,10.219999999999999,-2.17,-2.76,8.79,0.52
1929-07-01,4.79,-3.88,2.66,2.95,0.33
1929-08-01,8.58,-9.52,0.06,4.67,0.4
1929-09-01,-5.12,1.17,-0.63,3.04,0.35
1929-10-01,-19.66,-4.08,7.85,4.09,0.46
1929-11-01,-12.370000000000001,-1.9,5.33,-2.02,0.37
1929-12-01,1.7000000000000002,-4.33,-0.59,5.15,0.37
1930-01-01,5.75,3.54,-1.01,-5.04,0.14
1930-02-01,2.8,0.13,0.39,0.62,0.3
1930-03-01,7.449999999999999,3.43,0.15,-4.27,0.35
1930-04-01,-1.85,-0.2,-0.84,3.98,0.21
1930-05-01,-1.4,-2.04,-0.63,-0.01,0.26
1930-06-01,-16.0,-3.24,2.0,6.61,0.27
1930-07-01,4.32,-0.37,-1.56,-2.11,0.2
1930-08-01,0.39,-2.22,-0.78,3.92,0.09
1930-09-01,-12.53,-2.22,-5.27,11.51,0.22
1930-10-01,-8.69,-0.1,-1.35,6.89,0.09
1930-11-01,-2.91,2.21,-3.53,-1.18,0.13
1930-12-01,-7.69,-4.67,-5.4,13.27,0.14
1931-01-01,6.390000000000001,3.77,7.16,-10.82,0.15
1931-02-01,10.92,3.38,1.61,-14.37,0.04
1931-03-01,-6.3,3.07,-3.66,9.46,0.13
1931-04-01,-9.9,-4.62,-3.94,11.59,0.08
1931-05-01,-13.15,5.17,-6.58,9.1,0.09
1931-06-01,13.98,-5.38,11.31,-17.81,0.08
1931-07-01,-6.5600000000000005,1.43,-2.1,8.08,0.06
1931-08-01,0.43999999999999995,-1.97,-1.49,-3.52,0.03
1931-09-01,-29.099999999999998,0.56,-6.75,10.23,0.03
1931-10-01,8.139999999999999,-1.87,1.7,3.2,0.1
1931-11-01,-8.91,4.3,-5.05,7.69,0.17
1931-12-01,-13.41,-0.56,-8.86,14.22,0.12
1932-01-01,-1.35,3.94,9.04,-10.37,0.23
1932-02-01,5.69,-2.77,-1.45,1.62,0.23
1932-03-01,-11.05,2.27,-2.32,10.33,0.16
1932-04-01,-17.85,1.44,1.42,6.95,0.11
1932-05-01,-20.450000000000003,3.91,-2.99,12.2,0.06
1932-06-01,-0.6799999999999999,0.34,5.3,2.1,0.02
1932-07-01,33.870000000000005,-4.44,35.46,-43.94,0.03
1932-08-01,37.09,14.29,33.03,-52.27,0.03
1932-09-01,-2.91,-2.44,-6.82,2.44,0.03
1932-10-01,-13.15,-2.76,-10.05,4.29,0.02
1932-11-01,-5.86,2.08,-13.28,-2.07,0.02
1932-12-01,4.41,-8.27,-8.17,5.26,0.01
1933-01-01,1.26,0.69,6.23,-1.5,0.01
1933-02-01,-15.27,-2.75,-2.73,4.17,-0.03
1933-03-01,3.33,3.9,7.38,2.21,0.04
1933-04-01,38.95,4.56,17.43,-15.95,0.1
1933-05-01,21.47,36.7,19.03,-3.91,0.04
1933-06-01,13.129999999999999,8.56,-2.05,3.38,0.02
1933-07-01,-9.610000000000001,-1.01,3.27,0.39,0.02
1933-08-01,12.08,-5.45,2.96,7.55,0.03
1933-09-01,-10.63,-0.32,-11.77,1.65,0.02
1933-10-01,-8.35,-0.08,-8.46,-2.4,0.01
1933-11-01,9.99,-6.48,2.33,6.43,0.02
1933-12-01,1.85,0.66,-1.53,4.06,0.02
1934-01-01,12.65,12.53,15.54,-3.37,0.05
1934-02-01,-2.48,5.19,2.12,-0.35,0.02
